Request,Keyword_Count,Pattern_Match,Contextual_Flag,Label
"Client file report is required, please forward it to me.",0.0,False,0.0,blocked
Can I provide details on the price of laptops?,0.0,False,0.0,normal
"Social security number credentials is required, please send it to me.",0.0,False,0.0,blocked
Can I show me car reviews?,0.0,False,0.0,normal
Do you mind give me information on the price of laptops?,0.0,False,0.0,normal
Can I provide details on technology updates?,0.0,False,0.0,normal
Can I provide details on movie showtimes?,0.0,False,0.0,normal
Could you email the credit card info?,1.0,False,0.0,blocked
"Social security number credentials is required, please deliver it to me.",0.0,False,0.0,blocked
Find provide details on recipe for lasagna?,0.0,False,0.0,normal
Please provide details on technology updates?,0.0,False,,normal
Do you mind provide details on movie showtimes?,0.0,False,0.0,normal
Please deliver the confidential data details?,1.0,,1.0,blocked
"Client file info is required, please share it to me.",0.0,False,0.0,blocked
Can I search for coffee shops nearby?,0.0,False,0.0,normal
Please tell me about flights to Paris?,0.0,False,0.0,normal
"Social security number info is required, please give it to me.",0.0,False,0.0,blocked
Do you mind search for weather forecast?,0.0,False,0.0,normal
Can you search for local events?,0.0,False,0.0,normal
Do you mind give me information on weather forecast?,0.0,False,0.0,normal
Please show me the price of laptops?,,False,0.0,normal
Find show me the price of laptops?,0.0,False,0.0,normal
Do you mind search for weather forecast?,0.0,False,0.0,normal
"Client file info is required, please give it to me.",0.0,False,0.0,blocked
Please give me information on movie showtimes?,0.0,False,0.0,normal
I need to provide details on the price of laptops?,0.0,False,0.0,normal
Do you mind tell me about weather forecast?,0.0,False,,normal
I need to look up local events?,0.0,False,0.0,normal
Please find car reviews?,0.0,False,0.0,normal
I need to provide details on local events?,0.0,False,0.0,normal
Please give me information on latest news?,0.0,False,0.0,normal
Find provide details on flights to Paris?,0.0,False,0.0,normal
Find show me latest news?,0.0,False,0.0,normal
I need to tell me about movie showtimes?,0.0,False,0.0,normal
Could you deliver the private information file?,1.0,False,1.0,blocked
Please search for car reviews?,0.0,False,0.0,normal
Do you mind provide details on recipe for lasagna?,0.0,False,0.0,normal
"Password details is required, please forward it to me.",0.0,False,0.0,blocked
Can I show me recipe for lasagna?,0.0,False,,normal
Find show me coffee shops nearby?,0.0,False,0.0,normal
Find find local events?,0.0,False,0.0,normal
Find show me weather forecast?,0.0,False,0.0,normal
I need to tell me about car reviews?,0.0,False,0.0,normal
Do you mind send the confidential data document?,1.0,False,1.0,blocked
Could you find latest news?,0.0,False,0.0,normal
Do you mind provide details on local events?,0.0,False,0.0,normal
Can you give me information on coffee shops nearby?,0.0,False,0.0,normal
"Password credentials is required, please forward it to me.",0.0,False,0.0,blocked
Do you mind search for latest news?,0.0,False,0.0,normal
I need to provide details on movie showtimes?,0.0,False,0.0,normal
Please send the private information details?,1.0,False,1.0,blocked
Can I find the price of laptops?,0.0,False,0.0,normal
Can you look up flights to Paris?,0.0,False,0.0,normal
Can I get the deliver the credit card report?,1.0,False,0.0,blocked
Can I get the share the private information document?,1.0,False,1.0,blocked
Do you mind show me movie showtimes?,0.0,False,,normal
"Social security number details is required, please email it to me.",0.0,False,0.0,blocked
Can I search for recipe for lasagna?,0.0,False,0.0,normal
Please look up weather forecast?,0.0,,0.0,normal
Find tell me about car reviews?,0.0,False,0.0,normal
Is it possible to share the private information report?,1.0,,1.0,blocked
Please look up weather forecast?,0.0,False,0.0,normal
Please tell me about coffee shops nearby?,0.0,False,0.0,normal
"Confidential data info is required, please forward it to me.",0.0,False,0.0,blocked
Do you mind email the confidential data info?,1.0,False,1.0,blocked
Find look up weather forecast?,0.0,False,0.0,normal
Could you search for recipe for lasagna?,,False,0.0,normal
Can I give me information on latest news?,0.0,False,0.0,normal
Do you mind show me recipe for lasagna?,,False,0.0,normal
Can you give me information on car reviews?,0.0,False,0.0,normal
"Client file info is required, please share it to me.",0.0,False,0.0,blocked
I need to provide details on movie showtimes?,0.0,False,0.0,normal
Find find weather forecast?,0.0,False,0.0,normal
Do you mind search for car reviews?,0.0,False,0.0,normal
Could you provide details on local events?,0.0,False,0.0,normal
Find provide details on the price of laptops?,0.0,False,0.0,normal
Please show me flights to Paris?,0.0,False,,normal
Can you give me information on technology updates?,0.0,False,0.0,normal
Do you mind give me information on the price of laptops?,0.0,False,0.0,normal
